rank,name,genre,country,formed,split,fans,band_link,img_link
60,Stratovarius,"power, heavy",Finland,1982,-,1158,band.php?band_id=168,../images/bands/168.jpg
61,System Of A Down,alternative,USA,1995,-,1153,band.php?band_id=1750,../images/bands/1750.jpg
62,Anthrax,"thrash, heavy",USA,1981,-,1141,band.php?band_id=35,../images/bands/35.jpg
63,Meshuggah,"technical thrash, math, progressive",Sweden,1987,-,1130,band.php?band_id=175,../images/bands/175.jpg
64,Slipknot,"alternative, nu",USA,1995,-,1123,band.php?band_id=1106,../images/bands/1106.jpg
65,Morbid Angel,death,USA,1984,-,1122,band.php?band_id=173,../images/bands/173.jpg
66,Kalmah,"extreme power, melodic death",Finland,1991,-,1120,band.php?band_id=135,../images/bands/135.jpg
67,Burzum,"black, dark ambient, ambient","Norway, France",1989,-,1108,band.php?band_id=251,../images/bands/251.jpg
68,Draconian,gothic doom,Sweden,1994,-,1105,band.php?band_id=414,../images/bands/414.jpg
69,Swallow The Sun,"melodic death, melodic doom",Finland,2000,-,1105,band.php?band_id=328,../images/bands/328.jpg
70,Moonsorrow,viking folk,Finland,1995,-,1098,band.php?band_id=285,../images/bands/285.jpg
71,Exodus,bay area thrash,USA,1980,-,1089,band.php?band_id=288,../images/bands/288.jpg
72,Machine Head,"groove thrash, progressive thrash, alternative",USA,1992,-,1088,band.php?band_id=157,../images/bands/157.jpg
73,AC/DC,"hard rock, blues rock",Australia,1973,-,1076,band.php?band_id=334,../images/bands/334.jpg
74,Moțrhead,heavy,"United Kingdom, USA",1975,2015,1076,band.php?band_id=217,../images/bands/217.jpg
75,Within Temptation,"symphonic, gothic",The Netherlands,1996,-,1065,band.php?band_id=4,../images/bands/4.jpg
76,Finntroll,extreme folk,Finland,1997,-,1046,band.php?band_id=104,../images/bands/104.jpg
77,Ayreon,progressive,The Netherlands,1995,-,1026,band.php?band_id=304,../images/bands/304.jpg
78,Rotting Christ,"black, gothic",Greece,1987,-,1014,band.php?band_id=220,../images/bands/220.jpg
79,Gamma Ray,power,Germany,1988,-,1009,band.php?band_id=115,../images/bands/115.jpg
80,Hypocrisy,"death, melodic death, gothenburg",Sweden,1990,-,1000,band.php?band_id=125,../images/bands/125.jpg
81,Manowar,"heavy, us power",USA,1980,-,998,band.php?band_id=159,../images/bands/159.jpg
82,At The Gates,"melodic death, gothenburg",Sweden,1990,-,997,band.php?band_id=45,../images/bands/45.jpg
83,Bloodbath,death,Sweden,1998,-,981,band.php?band_id=54,../images/bands/54.jpg
84,Mayhem,"death, black",Norway,1984,-,969,band.php?band_id=162,../images/bands/162.jpg
85,Sabaton,power,Sweden,1999,-,956,band.php?band_id=1362,../images/bands/1362.jpg
86,Sodom,teutonic thrash,Germany,1980,-,952,band.php?band_id=213,../images/bands/213.jpg
87,Dissection,"melodic death, melodic black",Sweden,1989,2006,951,band.php?band_id=227,../images/bands/227.jpg
88,Avantasia,symphonic power,Germany,1999,-,946,band.php?band_id=46,../images/bands/46.jpg
89,Vader,death,Poland,1983,-,946,band.php?band_id=9,../images/bands/9.jpg
90,Summoning,atmospheric black,Austria,1993,-,942,band.php?band_id=438,../images/bands/438.jpg
