rank,name,genre,country,formed,split,fans,band_link,img_link
2302,Outre,black,Poland,2012,-,21,band.php?band_id=8037,../images/bands/8037.jpg
2303,P.H.O.B.O.S.,industrial doom,France,2000,-,21,band.php?band_id=7073,../images/bands/7073.jpg
2304,Pitbulls In The Nursery,"technical death, progressive",France,1996,-,21,band.php?band_id=3562,../images/bands/3562.jpg
2305,Reflexion,suomi,Finland,1996,-,21,band.php?band_id=1437,../images/bands/1437.jpg
2306,SkÃ¡phe,psychedelic black,USA,2014,-,21,band.php?band_id=9242,../images/bands/9242.jpg
2307,Temperance,symphonic,Italy,2013,-,21,band.php?band_id=10391,../images/bands/10391.jpg
2308,Vangough,progressive,USA,2008,-,21,band.php?band_id=4098,../images/bands/4098.jpg
2309,Venenum,death,Germany,2008,-,21,band.php?band_id=9831,../images/bands/9831.jpg
2310,Vulture,"speed, thrash",Germany,2015,-,21,band.php?band_id=10404,../images/bands/10404.jpg
2311,Wargasm,"thrash, heavy",USA,1982,1995,21,band.php?band_id=2999,../images/bands/2999.jpg
2312,Weedpecker,"psychedelic stoner, grunge",Poland,2012,-,21,band.php?band_id=8081,../images/bands/8081.jpg
2313,Woe,black,USA,2007,-,21,band.php?band_id=5767,../images/bands/5767.jpg
2314,Wormfood,"gothic, avantgarde, industrial thrash",France,2001,-,21,band.php?band_id=6109,../images/bands/6109.jpg
2315,Y&T,"hard rock, heavy",USA,1974,-,21,band.php?band_id=4854,../images/bands/4854.jpg
2316,(EchO),"melodic death doom, psychedelic doom",Italy,2007,-,20,band.php?band_id=7061,../images/bands/7061.jpg
2317,Ablaze My Sorrow,melodic death,Sweden,1993,-,20,band.php?band_id=3494,../images/bands/3494.jpg
2318,Amon,death,USA,1987,-,20,band.php?band_id=7104,../images/bands/7104.jpg
2319,Annotations Of An Autopsy,"deathcore, brutal death",United Kingdom,2006,-,20,band.php?band_id=3204,../images/bands/3204.jpg
2320,Appalachian Winter,symphonic black,USA,2008,-,20,band.php?band_id=7618,../images/bands/7618.jpg
2321,Arrayan Path,"power, heavy","USA, Cyprus",2011,-,20,band.php?band_id=3298,../images/bands/3298.jpg
2322,Atargatis,symphonic gothic,Germany,1997,-,20,band.php?band_id=2719,../images/bands/2719.jpg
2323,Attomica,thrash,Brazil,1985,-,20,band.php?band_id=5219,../images/bands/5219.jpg
2324,Below,epic doom,Sweden,2012,-,20,band.php?band_id=8208,../images/bands/8208.jpg
2325,Blodsrit,black,Sweden,1998,-,20,band.php?band_id=496,../images/bands/496.jpg
2326,Blood Tsunami,"thrash, death",Norway,2004,-,20,band.php?band_id=2414,../images/bands/2414.jpg
2327,Brocas Helm,heavy,USA,1982,-,20,band.php?band_id=4832,../images/bands/4832.jpg
2328,Burden Of Grief,melodic death,Germany,1994,-,20,band.php?band_id=917,../images/bands/917.jpg
2329,Burning Point,melodic power,Finland,1999,-,20,band.php?band_id=4985,../images/bands/4985.jpg
2330,Castle,"doom, heavy",USA,2009,-,20,band.php?band_id=7449,../images/bands/7449.jpg
2331,Cianide,death doom,USA,1988,-,20,band.php?band_id=3971,../images/bands/3971.jpg
2332,Cloudscape,progressive,Sweden,2001,-,20,band.php?band_id=2040,../images/bands/2040.jpg
2333,Demiurg,death,Sweden,2006,2014,20,band.php?band_id=3867,../images/bands/3867.jpg
2334,Deranged,death,Sweden,1991,-,20,band.php?band_id=2598,../images/bands/2598.jpg
2335,Device,"alternative, industrial",USA,2012,-,20,band.php?band_id=7761,../images/bands/7761.jpg
2336,Disavowed,"death, brutal death",The Netherlands,1994,-,20,band.php?band_id=3902,../images/bands/3902.jpg
2337,Disma,death,USA,2005,-,20,band.php?band_id=6260,../images/bands/6260.jpg
2338,Djevel,black,Norway,2009,-,20,band.php?band_id=6215,../images/bands/6215.jpg
2339,Fleurety,"black, avantgarde",Norway,1991,-,20,band.php?band_id=5027,../images/bands/5027.jpg
2340,Gaahls Wyrd,black,Norway,2015,-,20,band.php?band_id=10217,../images/bands/10217.jpg
2341,Gyze,extreme power,Japan,2009,-,20,band.php?band_id=8060,../images/bands/8060.jpg
2342,Hackneyed,death,Germany,2006,-,20,band.php?band_id=3158,../images/bands/3158.jpg
2343,I Killed The Prom Queen,metalcore,Australia,2000,-,20,band.php?band_id=6482,../images/bands/6482.jpg
2344,Intestine Baalism,"thrash, death",Japan,1991,-,20,band.php?band_id=3893,../images/bands/3893.jpg
2345,Kaledon,power,Italy,1998,-,20,band.php?band_id=2893,../images/bands/2893.jpg
2346,Ketzer,"black, thrash",Germany,2003,-,20,band.php?band_id=7004,../images/bands/7004.jpg
2347,King Parrot,"thrash, grindcore",Australia,2010,-,20,band.php?band_id=8468,../images/bands/8468.jpg
2348,Krypt,black,Norway,2006,-,20,band.php?band_id=5541,../images/bands/5541.jpg
2349,Leng Tch'e,grindcore,Belgium,2001,-,20,band.php?band_id=1580,../images/bands/1580.jpg
2350,Loch Vostok,"extreme progressive, melodic death",Sweden,2001,-,20,band.php?band_id=3988,../images/bands/3988.jpg
2351,Lonewolf,"heavy, power",France,1992,-,20,band.php?band_id=3117,../images/bands/3117.jpg
2352,Lord Of The Lost,"gothic, industrial",Germany,2007,-,20,band.php?band_id=11825,../images/bands/11825.jpg
2353,Machine Men,heavy,Finland,1998,2011,20,band.php?band_id=380,../images/bands/380.jpg
2354,Mastifal,"thrash, death",Argentina,1995,2016,20,band.php?band_id=3775,../images/bands/3775.jpg
2355,Mortad,"death, thrash",United Kingdom,2010,-,20,band.php?band_id=7111,../images/bands/7111.jpg
2356,My Shameful,death doom,Finland,1999,2015,20,band.php?band_id=1708,../images/bands/1708.jpg
2357,Mystic Circle,melodic black,Germany,1992,-,20,band.php?band_id=590,../images/bands/590.jpg
2358,Nechochwen,"neofolk, black",USA,2005,-,20,band.php?band_id=9160,../images/bands/9160.jpg
2359,Necrot,death,USA,2011,-,20,band.php?band_id=10211,../images/bands/10211.jpg
2360,Need,progressive,Greece,2003,-,20,band.php?band_id=6121,../images/bands/6121.jpg
2361,Night In Gales,melodic death,Germany,1995,-,20,band.php?band_id=4879,../images/bands/4879.jpg
2362,7-Nov,"symphonic, heavy, industrial",Switzerland,2005,-,20,band.php?band_id=5889,../images/bands/5889.jpg
2363,Octavia Sperati,gothic,Norway,2000,-,20,band.php?band_id=2356,../images/bands/2356.jpg
2364,Okera,"melodic death, doom",Australia,2006,-,20,band.php?band_id=7107,../images/bands/7107.jpg
2365,Omit,"doom, symphonic",Norway,2009,-,20,band.php?band_id=6527,../images/bands/6527.jpg
2366,Orion's Reign,"heavy, power",Greece,2001,-,20,band.php?band_id=3536,../images/bands/3536.jpg
2367,Psychostick,"groove thrash, comedy",USA,2000,-,20,band.php?band_id=8764,../images/bands/8764.jpg
2368,Psyopus,"metalcore, technical grindcore",USA,2002,-,20,band.php?band_id=1808,../images/bands/1808.jpg
2369,Resurrection,death,USA,1990,-,20,band.php?band_id=3377,../images/bands/3377.jpg
2370,Saattue,"melodic doom, melodic death",Finland,2001,2017,20,band.php?band_id=2497,../images/bands/2497.jpg
2371,Samhain,"death rock, hard rock, horror punk",USA,1983,1987,20,band.php?band_id=9509,../images/bands/9509.jpg
2372,Saturnian,"extreme symphonic, symphonic black",United Kingdom,2007,-,20,band.php?band_id=7026,../images/bands/7026.jpg
2373,Sex Machineguns,"power, speed",Japan,1989,-,20,band.php?band_id=5124,../images/bands/5124.jpg
2374,Skylark,power,Italy,1994,-,20,band.php?band_id=1074,../images/bands/1074.jpg
2375,So Hideous,"black, post-metal",USA,2013,-,20,band.php?band_id=9041,../images/bands/9041.jpg
2376,The Offering,"alternative, extreme progressive",USA,2015,-,20,band.php?band_id=10813,../images/bands/10813.jpg
2377,The Slow Death,death doom,Australia,2007,-,20,band.php?band_id=8570,../images/bands/8570.jpg
2378,Usurper,"black, death, thrash",USA,1993,-,20,band.php?band_id=3000,../images/bands/3000.jpg
2379,Voodoo Circle,"heavy, power, hard rock",Germany,2008,-,20,band.php?band_id=3909,../images/bands/3909.jpg
2380,Vulcano,"death, thrash",Brazil,1981,-,20,band.php?band_id=3997,../images/bands/3997.jpg
2381,What Mad Universe,"post-rock, atmospheric sludge",France,2008,-,20,band.php?band_id=6189,../images/bands/6189.jpg
2382,Widek,"progressive, djent",Poland,2010,-,20,band.php?band_id=8878,../images/bands/8878.jpg
2383,Winterstorm,"power, folk",Germany,2009,-,20,band.php?band_id=7700,../images/bands/7700.jpg
2384,Wo Fat,"psychedelic doom, stoner rock",USA,2003,-,20,band.php?band_id=8342,../images/bands/8342.jpg
2385,Zao,metalcore,USA,1993,-,20,band.php?band_id=2038,../images/bands/2038.jpg
2386,Apocynthion,"black, post-metal",Spain,2010,-,19,band.php?band_id=7788,../images/bands/7788.jpg
2387,Aversions Crown,deathcore,Australia,2010,-,19,band.php?band_id=9996,../images/bands/9996.jpg
2388,Behold The Arctopus,progressive,USA,2001,-,19,band.php?band_id=3590,../images/bands/3590.jpg
2389,Bend The Sky,"progressive, djent, instrumental",Australia,2010,-,19,band.php?band_id=7426,../images/bands/7426.jpg
2390,Beto VÃ¡zquez Infinity,symphonic,Argentina,2000,-,19,band.php?band_id=4203,../images/bands/4203.jpg
2391,Black Obelisk,"heavy, thrash",Russia,1986,-,19,band.php?band_id=6755,../images/bands/6755.jpg
2392,Bullet,"heavy, hard rock",Sweden,2001,-,19,band.php?band_id=2957,../images/bands/2957.jpg
2393,CÃ¢n Bardd,"atmospheric black, folk",Switzerland,2016,-,19,band.php?band_id=10708,../images/bands/10708.jpg
2394,Ceremonial Castings,black,USA,1996,-,19,band.php?band_id=3356,../images/bands/3356.jpg
2395,Channel Zero,thrash,Belgium,1990,-,19,band.php?band_id=2370,../images/bands/2370.jpg
2396,Dark Flood,melodic death,Finland,1996,-,19,band.php?band_id=4656,../images/bands/4656.jpg
2397,Darkest Horizon,melodic death,Germany,2010,-,19,band.php?band_id=7717,../images/bands/7717.jpg
2398,E-an-na,folk,Romania,2014,-,19,band.php?band_id=9780,../images/bands/9780.jpg
2399,Earth And Pillars,atmospheric black,Italy,2014,-,19,band.php?band_id=8856,../images/bands/8856.jpg
2400,Eldritch,"power, thrash",Italy,1991,-,19,band.php?band_id=1094,../images/bands/1094.jpg
2401,Eleine,symphonic,Sweden,2011,-,19,band.php?band_id=9962,../images/bands/9962.jpg
2402,Elexorien,"symphonic power, black",The Netherlands,2004,2011,19,band.php?band_id=3210,../images/bands/3210.jpg
2403,Elvellon,symphonic,Germany,2010,-,19,band.php?band_id=10171,../images/bands/10171.jpg
2404,Epidemia,power,Russia,1993,-,19,band.php?band_id=3679,../images/bands/3679.jpg
2405,Farshid Arabi,heavy,Iran,2003,-,19,band.php?band_id=6390,../images/bands/6390.jpg
2406,Fires In The Distance,"melodic doom, death doom",USA,2016,-,19,band.php?band_id=13000,../images/bands/13000.jpg
2407,Fluisteraars,black,The Netherlands,2008,-,19,band.php?band_id=10479,../images/bands/10479.jpg
2408,Fragments Of Unbecoming,melodic death,Germany,2000,-,19,band.php?band_id=896,../images/bands/896.jpg
2409,Gloson,"post-metal, sludge",Sweden,2014,-,19,band.php?band_id=9394,../images/bands/9394.jpg
2410,Grailknights,"gothenburg, power",Germany,2002,-,19,band.php?band_id=4740,../images/bands/4740.jpg
2411,Heavy Load,heavy,Sweden,1976,-,19,band.php?band_id=3757,../images/bands/3757.jpg
2412,Hordak,pagan black,Spain,2002,-,19,band.php?band_id=4451,../images/bands/4451.jpg
2413,Horn Of The Rhino,"doom, sludge",Spain,2005,2016,19,band.php?band_id=7070,../images/bands/7070.jpg
2414,Hyperion,melodic black,Sweden,2007,-,19,band.php?band_id=10121,../images/bands/10121.jpg
2415,Klabautamann,"atmospheric black, folk",Germany,1998,-,19,band.php?band_id=6563,../images/bands/6563.jpg
2416,Liturgy,experimental black,USA,2005,-,19,band.php?band_id=6571,../images/bands/6571.jpg
2417,Lunatic Gods,"atmospheric black, death doom",Slovak Republic,1993,-,19,band.php?band_id=5171,../images/bands/5171.jpg
2418,Memento Mori,"heavy, doom",Sweden,1992,1997,19,band.php?band_id=4046,../images/bands/4046.jpg
2419,Mind's Eye,progressive,Sweden,1992,-,19,band.php?band_id=2553,../images/bands/2553.jpg
2420,Modern Day Babylon,"progressive, djent",Czech Republic,2010,-,19,band.php?band_id=9118,../images/bands/9118.jpg
2421,Mortifera,black,France,2001,-,19,band.php?band_id=2987,../images/bands/2987.jpg
2422,Nazgul,"black, folk",Italy,1996,-,19,band.php?band_id=3306,../images/bands/3306.jpg
2423,Nidingr,black,Norway,1992,-,19,band.php?band_id=4723,../images/bands/4723.jpg
2424,Obliveon,"thrash, death",Canada,1987,-,19,band.php?band_id=7728,../images/bands/7728.jpg
2425,Paladin,"extreme power, thrash",USA,2015,-,19,band.php?band_id=10704,../images/bands/10704.jpg
2426,Pryapisme,avantgarde,France,2000,-,19,band.php?band_id=7598,../images/bands/7598.jpg
2427,Psilocybe Larvae,"progressive black, death doom",Russia,1996,-,19,band.php?band_id=3530,../images/bands/3530.jpg
2428,Purtenance,death,Finland,1989,-,19,band.php?band_id=6264,../images/bands/6264.jpg
2429,Rose Tattoo,"heavy, hard rock",Australia,1976,-,19,band.php?band_id=2250,../images/bands/2250.jpg
2430,Ruins,black,Australia,2002,-,19,band.php?band_id=3763,../images/bands/3763.jpg
2431,Seeds Of Iblis,black,Iraq,2011,-,19,band.php?band_id=7357,../images/bands/7357.jpg
2432,Selvans,"atmospheric black, folk",Italy,2014,-,19,band.php?band_id=9240,../images/bands/9240.jpg
2433,Seraphim,power,Taiwan,2001,-,19,band.php?band_id=206,../images/bands/206.jpg
2434,Slow,"atmospheric doom, funeral doom",Belgium,2007,-,19,band.php?band_id=9128,../images/bands/9128.jpg
2435,Spiritus Mortis,doom,Finland,1987,-,19,band.php?band_id=4033,../images/bands/4033.jpg
2436,Svart,"depressive black, funeral doom",Sweden,2007,-,19,band.php?band_id=4677,../images/bands/4677.jpg
2437,Sworn,melodic black,Norway,2005,-,19,band.php?band_id=3178,../images/bands/3178.jpg
2438,Temple Of Baal,black,France,1998,-,19,band.php?band_id=575,../images/bands/575.jpg
2439,The Forsaken,melodic death,Sweden,1997,-,19,band.php?band_id=918,../images/bands/918.jpg
2440,This Ending,melodic death,Sweden,2005,-,19,band.php?band_id=7752,../images/bands/7752.jpg
2441,Transmetal,"death, thrash",Mexico,1987,-,19,band.php?band_id=4252,../images/bands/4252.jpg
2442,Traveler,heavy,Canada,2017,-,19,band.php?band_id=10471,../images/bands/10471.jpg
2443,Urna,"black, funeral doom",Italy,2004,-,19,band.php?band_id=4518,../images/bands/4518.jpg
2444,Vanir,"viking folk, melodic death",Denmark,2009,-,19,band.php?band_id=8528,../images/bands/8528.jpg
2445,Vertigo Steps,progressive,Portugal,2007,-,19,band.php?band_id=3702,../images/bands/3702.jpg
2446,VhÃ¶l,"heavy, crust punk",USA,2012,-,19,band.php?band_id=7781,../images/bands/7781.jpg
2447,Vixen,"hard rock, glam",USA,1970,-,19,band.php?band_id=5212,../images/bands/5212.jpg
2448,VON,black,USA,1987,-,19,band.php?band_id=1206,../images/bands/1206.jpg
2449,WaldgeflÃ¼ster,black,Germany,2005,-,19,band.php?band_id=5760,../images/bands/5760.jpg
2450,With The Dead,"doom, stoner",United Kingdom,2014,-,19,band.php?band_id=9121,../images/bands/9121.jpg
2451,A Storm Of Light,post-metal,USA,2007,-,18,band.php?band_id=4803,../images/bands/4803.jpg
2452,Ace Frehley,"hard rock, glam",USA,1984,-,18,band.php?band_id=3206,../images/bands/3206.jpg
2453,Alkerdeel,"black, sludge",Belgium,2005,-,18,band.php?band_id=6944,../images/bands/6944.jpg
2454,Alogia,"power, progressive",Serbia,2000,-,18,band.php?band_id=2559,../images/bands/2559.jpg
2455,Altar Of Betelgeuze,"death doom, stoner",Finland,2010,-,18,band.php?band_id=8071,../images/bands/8071.jpg
2456,Alterbeast,technical death,USA,2013,-,18,band.php?band_id=8250,../images/bands/8250.jpg
2457,Alunah,"doom, stoner",United Kingdom,2006,-,18,band.php?band_id=8512,../images/bands/8512.jpg
2458,Anonymus,thrash,Canada,1989,-,18,band.php?band_id=2471,../images/bands/2471.jpg
2459,Bodom After Midnight,"heavy, extreme power",Finland,2020,-,18,band.php?band_id=14052,../images/bands/14052.jpg
2460,Bong,"drone doom, psychedelic doom",United Kingdom,2005,-,18,band.php?band_id=6214,../images/bands/6214.jpg
2461,Capharnaum,technical death,USA,1993,-,18,band.php?band_id=479,../images/bands/479.jpg
2462,Celestial Season,"death doom, stoner, gothic doom",The Netherlands,1991,-,18,band.php?band_id=4204,../images/bands/4204.jpg
2463,Conquest,power,Ukraine,1996,2011,18,band.php?band_id=4494,../images/bands/4494.jpg
2464,Deliverance,"speed, progressive, thrash",USA,1985,-,18,band.php?band_id=5554,../images/bands/5554.jpg
2465,Descend,"melodic death, extreme progressive",Sweden,2003,-,18,band.php?band_id=8153,../images/bands/8153.jpg
2466,Disentomb,brutal death,Australia,2009,-,18,band.php?band_id=8029,../images/bands/8029.jpg
2467,Disfiguring The Goddess,"brutal death, grindcore",USA,2006,-,18,band.php?band_id=7508,../images/bands/7508.jpg
2468,Distorted Harmony,progressive,Israel,2009,-,18,band.php?band_id=7538,../images/bands/7538.jpg
2469,Enochian Theory,progressive,United Kingdom,2004,-,18,band.php?band_id=4269,../images/bands/4269.jpg
2470,Enthring,"melodic death, symphonic",Finland,2006,-,18,band.php?band_id=6487,../images/bands/6487.jpg
2471,Eternal Deformity,"progressive, doom",Poland,1993,-,18,band.php?band_id=5237,../images/bands/5237.jpg
2472,Ethereal Shroud,"black, funeral doom",United Kingdom,2013,-,18,band.php?band_id=8778,../images/bands/8778.jpg
2473,Farsot,black,Germany,1999,-,18,band.php?band_id=2572,../images/bands/2572.jpg
2474,Flourishing,"technical death, grindcore, sludge",USA,2009,2014,18,band.php?band_id=6176,../images/bands/6176.jpg
2475,Funeral Tears,funeral doom,Russia,2007,-,18,band.php?band_id=7251,../images/bands/7251.jpg
2476,Holy Martyr,heavy,Italy,1994,-,18,band.php?band_id=794,../images/bands/794.jpg
2477,Horisont,hard rock,Sweden,2006,-,18,band.php?band_id=7000,../images/bands/7000.jpg
2478,Horn,black,Germany,2003,-,18,band.php?band_id=8050,../images/bands/8050.jpg
2479,Insision,brutal death,Sweden,1997,-,18,band.php?band_id=4508,../images/bands/4508.jpg
2480,Irreversible Mechanism,"technical death, symphonic death",Belarus,2012,-,18,band.php?band_id=8814,../images/bands/8814.jpg
2481,Jordan Rudess,"progressive, new age",USA,1988,-,18,band.php?band_id=9219,../images/bands/9219.jpg
2482,Kalmankantaja,depressive black,Finland,2011,-,18,band.php?band_id=9281,../images/bands/9281.jpg
2483,Koldbrann,black,Norway,2001,-,18,band.php?band_id=2326,../images/bands/2326.jpg
2484,Konkhra,death,Denmark,1989,-,18,band.php?band_id=312,../images/bands/312.jpg
2485,Kraanium,brutal death,Norway,2001,-,18,band.php?band_id=5531,../images/bands/5531.jpg
2486,Krimh,"progressive death, instrumental, djent",Austria,2004,-,18,band.php?band_id=8027,../images/bands/8027.jpg
2487,Light Bearer,"post-metal, sludge",United Kingdom,2010,2015,18,band.php?band_id=7024,../images/bands/7024.jpg
2488,Method Of Destruction,"crossover thrash, hardcore, punk",USA,1986,-,18,band.php?band_id=3074,../images/bands/3074.jpg
2489,Midnight Priest,heavy,Portugal,2008,-,18,band.php?band_id=7092,../images/bands/7092.jpg
2490,Mizmor,"black, doom",USA,2012,-,18,band.php?band_id=9781,../images/bands/9781.jpg
2491,Monumental Torment,technical death,Russia,2009,-,18,band.php?band_id=5797,../images/bands/5797.jpg
2492,Night Demon,heavy,USA,2011,-,18,band.php?band_id=10195,../images/bands/10195.jpg
2493,Noble Beast,power,USA,2007,-,18,band.php?band_id=8202,../images/bands/8202.jpg
2494,Philip H. Anselmo & The Illegals,sludge,USA,2011,-,18,band.php?band_id=7801,../images/bands/7801.jpg
2495,Priestess,"hard rock, stoner rock",Canada,2003,-,18,band.php?band_id=4104,../images/bands/4104.jpg
2496,Ram,heavy,Sweden,1999,-,18,band.php?band_id=5028,../images/bands/5028.jpg
2497,Saga,progressive rock,Canada,1977,-,18,band.php?band_id=2366,../images/bands/2366.jpg
2498,Semargl,"melodic black, blackened death, industrial, electronic",Ukraine,1997,-,18,band.php?band_id=5083,../images/bands/5083.jpg
2499,Solar Fragment,"power, heavy",Germany,2004,-,18,band.php?band_id=6516,../images/bands/6516.jpg
2500,Son Of Aurelius,"technical death, progressive",USA,2009,-,18,band.php?band_id=6253,../images/bands/6253.jpg
2501,Soziedad Alkoholika,crossover thrash,Spain,1988,-,18,band.php?band_id=3318,../images/bands/3318.jpg
2502,SSS,crossover thrash,United Kingdom,2005,-,18,band.php?band_id=3726,../images/bands/3726.jpg
2503,Svartsyn,black,Sweden,1991,-,18,band.php?band_id=1705,../images/bands/1705.jpg
2504,Tchornobog,"black, death, doom",USA,2014,-,18,band.php?band_id=9921,../images/bands/9921.jpg
2505,Thy Disease,industrial death,Poland,1999,-,18,band.php?band_id=2832,../images/bands/2832.jpg
2506,Thyrane,"symphonic black, blackened industrial",Finland,1994,-,18,band.php?band_id=1882,../images/bands/1882.jpg
2507,Tribuzy,power,Brazil,2005,-,18,band.php?band_id=2492,../images/bands/2492.jpg
2508,Vastum,death,USA,2009,-,18,band.php?band_id=8015,../images/bands/8015.jpg
2509,Viking,thrash,USA,1985,-,18,band.php?band_id=5535,../images/bands/5535.jpg
2510,Virgin Snatch,"thrash, groove thrash",Poland,2001,-,18,band.php?band_id=6703,../images/bands/6703.jpg
2511,Visceral Disgorge,brutal death,USA,2007,-,18,band.php?band_id=6503,../images/bands/6503.jpg
2512,Wastefall,progressive,Greece,2003,-,18,band.php?band_id=2094,../images/bands/2094.jpg
2513,Wedard,depressive black,Germany,2002,-,18,band.php?band_id=7861,../images/bands/7861.jpg
2514,Whoredom Rife,black,Norway,2014,-,18,band.php?band_id=9904,../images/bands/9904.jpg
2515,Zierler,progressive,Denmark,2012,-,18,band.php?band_id=9201,../images/bands/9201.jpg
2516,Aeon Zen,progressive,United Kingdom,2008,-,17,band.php?band_id=6112,../images/bands/6112.jpg
2517,Antigama,experimental grindcore,Poland,2000,-,17,band.php?band_id=548,../images/bands/548.jpg
2518,Archons,melodic death,Canada,2006,-,17,band.php?band_id=3846,../images/bands/3846.jpg
2519,Avec Tristesse,extreme progressive,Brazil,2000,-,17,band.php?band_id=376,../images/bands/376.jpg
2520,Bathsheba,doom,Belgium,2013,2018,17,band.php?band_id=9874,../images/bands/9874.jpg
2521,Black Wreath,"funeral doom, death doom",Denmark,2002,-,17,band.php?band_id=4831,../images/bands/4831.jpg
2522,Bossk,atmospheric sludge,United Kingdom,2005,-,17,band.php?band_id=3449,../images/bands/3449.jpg
2523,Chalice,gothic doom,Australia,1997,2007,17,band.php?band_id=3368,../images/bands/3368.jpg
2524,Cock And Ball Torture,"goregrind, deathgrind",Germany,1997,-,17,band.php?band_id=1590,../images/bands/1590.jpg
2525,Condor,"black, thrash",Norway,2009,-,17,band.php?band_id=7660,../images/bands/7660.jpg
2526,Cornerstone,"hard rock, heavy",Denmark,1999,-,17,band.php?band_id=5548,../images/bands/5548.jpg
2527,DÃ¤mmerfarben,atmospheric black,Germany,2005,-,17,band.php?band_id=2189,../images/bands/2189.jpg
2528,Dark Oath,melodic death,Portugal,2009,-,17,band.php?band_id=10254,../images/bands/10254.jpg
2529,Darkwoods My Betrothed,black,Finland,1993,-,17,band.php?band_id=1292,../images/bands/1292.jpg
2530,Dissimulation,"black, thrash",Lithuania,1993,-,17,band.php?band_id=2858,../images/bands/2858.jpg
2531,Division By Zero,progressive,Poland,2003,-,17,band.php?band_id=3013,../images/bands/3013.jpg
2532,Domain,power,Germany,1988,2010,17,band.php?band_id=1440,../images/bands/1440.jpg
2533,Dreamtone & Iris Mavraki's Neverland,"progressive, power",Turkey,2004,-,17,band.php?band_id=2946,../images/bands/2946.jpg
2534,End Of The Dream,symphonic,The Netherlands,2013,-,17,band.php?band_id=9294,../images/bands/9294.jpg
2535,Enochian Crescent,black,Finland,1995,2012,17,band.php?band_id=1897,../images/bands/1897.jpg
2536,Equipoise,technical death,USA,2015,-,17,band.php?band_id=9863,../images/bands/9863.jpg
2537,Eternity's End,"progressive, power",Germany,2014,-,17,band.php?band_id=9806,../images/bands/9806.jpg
2538,Evenoire,"symphonic, folk",Italy,2006,2016,17,band.php?band_id=6925,../images/bands/6925.jpg
2539,Evertale,power,Germany,2007,-,17,band.php?band_id=8721,../images/bands/8721.jpg
2540,Evil Masquerade,"power, progressive",Denmark,2003,-,17,band.php?band_id=3652,../images/bands/3652.jpg
2541,Facebreaker,"death, thrash",Sweden,1999,-,17,band.php?band_id=916,../images/bands/916.jpg
2542,Greenleaf,stoner rock,Sweden,1999,-,17,band.php?band_id=8196,../images/bands/8196.jpg
2543,Hades,black,Norway,1992,1998,17,band.php?band_id=9412,../images/bands/9412.jpg
2544,Hammercult,"death, thrash","Israel, Germany",2010,-,17,band.php?band_id=7742,../images/bands/7742.jpg
2545,Head Control System,alternative,Portugal,2003,-,17,band.php?band_id=6562,../images/bands/6562.jpg
2546,Heir Apparent,progressive,USA,1983,-,17,band.php?band_id=3712,../images/bands/3712.jpg
2547,Hellripper,blackened speed,United Kingdom,2014,-,17,band.php?band_id=11100,../images/bands/11100.jpg
2548,Hellsaw,black,Austria,2002,2015,17,band.php?band_id=3179,../images/bands/3179.jpg
2549,Hevein,melodic thrash,Finland,1992,-,17,band.php?band_id=1880,../images/bands/1880.jpg
2550,Hexenhaus,technical thrash,Sweden,1987,-,17,band.php?band_id=5008,../images/bands/5008.jpg
2551,Highlord,power,Italy,1996,-,17,band.php?band_id=1019,../images/bands/1019.jpg
2552,Holocausto Canibal,"brutal death, goregrind",Portugal,1997,-,17,band.php?band_id=1687,../images/bands/1687.jpg
2553,Hyubris,"folk, heavy, hard rock",Portugal,1998,-,17,band.php?band_id=3931,../images/bands/3931.jpg
2554,Icewind,power,Canada,2001,-,17,band.php?band_id=1321,../images/bands/1321.jpg
2555,Inactive Messiah,"industrial death, melodic death",Greece,2001,-,17,band.php?band_id=761,../images/bands/761.jpg
2556,Jaldaboath,experimental folk,United Kingdom,2007,-,17,band.php?band_id=5049,../images/bands/5049.jpg
2557,Jorn Lande & Trond Holter,"heavy, symphonic power",Norway,2014,2016,17,band.php?band_id=9272,../images/bands/9272.jpg
2558,Kill Devil Hill,heavy,USA,2011,-,17,band.php?band_id=7496,../images/bands/7496.jpg
2559,Konvent,death doom,Denmark,2015,-,17,band.php?band_id=11274,../images/bands/11274.jpg
2560,Kowai,"gothic, gothic rock",The Netherlands,2006,2017,17,band.php?band_id=8644,../images/bands/8644.jpg
2561,Kvaen,melodic black,Sweden,2019,-,17,band.php?band_id=11495,../images/bands/11495.jpg
2562,Lanfear,"progressive, power",Germany,1993,-,17,band.php?band_id=2884,../images/bands/2884.jpg
2563,Lord Dying,sludge,USA,2010,-,17,band.php?band_id=8558,../images/bands/8558.jpg
2564,Malefice,metalcore,United Kingdom,2003,-,17,band.php?band_id=2486,../images/bands/2486.jpg
2565,Manigance,heavy,France,1995,-,17,band.php?band_id=158,../images/bands/158.jpg
2566,Miserere Luminis,black,Canada,2008,-,17,band.php?band_id=6602,../images/bands/6602.jpg
2567,Monarque,black,Canada,2003,-,17,band.php?band_id=7265,../images/bands/7265.jpg
2568,Moonlyght,progressive,Canada,1995,-,17,band.php?band_id=940,../images/bands/940.jpg
2569,My Silent Wake,"death doom, gothic, dark ambient, neofolk",United Kingdom,2005,-,17,band.php?band_id=4388,../images/bands/4388.jpg
2570,NaÃ°ra,black,Iceland,2008,-,17,band.php?band_id=9193,../images/bands/9193.jpg
